intent;hjelpesenter_category;hjelpesenter_subcategory;action_type;requires_login;requires_action;is_active;payment_required;payment_amount;combined_response;keywords;primary_action;resolution_steps;api_endpoint;help_center_article_url;help_center_article_title;required_runtime_data;chatbot_steps
OwnershipTransferApp;Eierskifte;Eierskifte Feil eier ved søk på ID-nr;API_CALL;true;true;true;false;;;omregistrering, registrert på feil eier, 4 valper, feilregistrert chip, skjema feilregistrert chip, endring av eier, adoptert, må selger gjøre det eller kan ny eier gjøre det, eierskifte;Motta og behandle 'feilregistrert chip' skjema for hver valp og endre eier i registeret;"1) Send veterinær skjemaet 'feilregistrert chip' for utfylling for hver valp.; 2) Mottak og verifisering av skjemaene.; 3) Utfør eierendring i system via /OwnerChange/OwnerSeller/ReportOwnerChange.; 4) Bekreft til veterinær/ny eier at endringen er gjennomført.";/OwnerChange/OwnerSeller/ReportOwnerChange;;;;1) Send veterinær skjemaet 'feilregistrert chip' for utfylling for hver valp.,2) Mottak og verifisering av skjemaene.,3) Utfør eierendring i system via /OwnerChange/OwnerSeller/ReportOwnerChange.,4) Bekreft til veterinær/ny eier at endringen er gjennomført.
OwnershipTransferCost;Eierskifte;Hva koster eierskifte?;INFO_ONLY;false;false;true;false;;"Eierskifte koster {{PRICE:eierskifte}}.
Det er selger som betaler.
Gå til Min Side > Eierskifte for å starte.";kostnad, eierskifte, pris, gebyr;;Spørsmål om pris på eierskifte kan besvares med standard informasjon fra hjelpesenter-artikkelen. Ingen systemhandling nødvendig med mindre kunden ønsker å gjennomføre eierskiftet.;;;;;
OwnershipTransferDead;Eierskifte;Eierskifte når eier er død;API_CALL;true;true;true;true;;;ny eier, tidligere eier er gått bort, skifteattest, eierskifte;;Ved dødsfall: send kopi av skifteattest og utfylt eierskifteskjema til DyreID via oppgitt e-postadresse for manuell behandling.;/OwnerChange/OwnerSeller/ReportOwnerChange;;;;Ved dødsfall: send kopi av skifteattest og utfylt eierskifteskjema til DyreID via oppgitt e-postadresse for manuell behandling.
OwnershipTransferWeb;Eierskifte;Eierskifte på Web;API_CALL;true;true;true;false;;;Eierskifte, omregistrert katten, kan ikke omregistrere, Oversender signert eierskifteskjema, initiert eierskifte, faktura, ny eier søkbar, Chip nr (implisitt), Hvordan foreta eierskifte, eierskifte, instruksjon, chip, Omregistrering av eier, feilregistreringsskjemaer, Haugaland Dyreklinikk, Feil eier ved søk, eierskifte, ID-nr, Feil eier ved søk, eierskifte, ID-nr;Hjelpe kunden med eierskifteprosessen: verifisere dyrets chipnummer, eierdetaljer og gjennomføre eierskifte via web-endepunktet om nødvendig.;"Be om chipnummer og eventuelle relevante opplysninger (kvittering, navn, e-post).; Prøv å utføre eierskifte via /OwnerChange/OwnerSeller/ReportOwnerChange dersom kunden ikke får det til selv.; Informer kunden om forventet ventetid og eventuelle krav til dokumentasjon.";/OwnerChange/OwnerSeller/ReportOwnerChange;;;;Be om chipnummer og eventuelle relevante opplysninger (kvittering, navn, e-post).,Prøv å utføre eierskifte via /OwnerChange/OwnerSeller/ReportOwnerChange dersom kunden ikke får det til selv.,Informer kunden om forventet ventetid og eventuelle krav til dokumentasjon.
WrongOwnerOnIDSearch;Eierskifte;Feil eier ved søk på ID-nr;API_CALL;true;true;true;false;;;Feil eier, ID-søk, eierskifte, chip;"Undersøke og korrigere eierregistrering; mulig eierskifte-prosess må initieres.";"Be kunden sende chipnummer og dokumentasjon som bekrefter eierskap.; Opprett eierskifte- eller rettelsessak via /OwnerChange/OwnerSeller/ReportOwnerChange.; Informer kunde om nødvendige steg og forventet behandlingstid.";/OwnerChange/OwnerSeller/ReportOwnerChange;;;;Be kunden sende chipnummer og dokumentasjon som bekrefter eierskap.,Opprett eierskifte- eller rettelsessak via /OwnerChange/OwnerSeller/ReportOwnerChange.,Informer kunde om nødvendige steg og forventet behandlingstid.
FamilyAccessLost;Familiedeling;Jeg ser ikke lenger kjæledyret som har blitt delt;INFO_ONLY;false;false;true;false;;Hvis du ikke lenger ser kjæledyret som en registrert eier har delt med deg, kan det være fordi delingen har blitt avsluttet eller trukket tilbake. Det er lurt å kontakte den registrerte eieren for å bekrefte dette. Husk at for å benytte deg av familiedeling, må dyreeieren ha et DyreID+ abonnement i appen. Dette abonnementet gir tilgang til familiedeling sammen med flere andre fordeler. Delt tilgang gir familiemedlemmer en helhetlig innsikt i kjæledyrets behov og helse ved å få tilgang til all tilgjengelig informasjon i appen.;ser ikke, delt, mistet tilgang, borte, familiedeling;;;;https://www.dyreid.no/familiedeling/117-kan-jeg-bruke-familiedeling-med-noen-som-allerede-har-et-kjaeledyr;Kan jeg bruke familiedeling med noen som allerede har et kjæledyr?;;
FamilySharingBenefits;Familiedeling;Hvorfor burde jeg ha familiedeling?;INFO_ONLY;false;false;true;false;;Familiedeling i DyreID gir flere fordeler for deg og dine nærmeste. Ved å aktivere familiedeling får familiemedlemmer tilgang til viktig informasjon om kjæledyret, som helseopplysninger og behov, via DyreID-appen. Dette kan bidra til en bedre forståelse av kjæledyrets situasjon, og gjør det enklere å håndtere deres velferd sammen. I tillegg kan du velge å dele informasjonen for en begrenset tidsperiode med andre, som for eksempel når kjæledyret ditt er på pensjonat eller hos bekjente. For å bruke familiedeling trenger du et DyreID+ abonnement, som tilbyr flere tilleggsgoder. Vær oppmerksom på at det kun er den registrerte eieren av kjæledyret som kan gjøre endringer i informasjonen, mens andre kun har tilgang til å se opplysningene i appen.;hvorfor, familiedeling, fordeler, dele;;;;https://www.dyreid.no/familiedeling/117-kan-jeg-bruke-familiedeling-med-noen-som-allerede-har-et-kjaeledyr;Kan jeg bruke familiedeling med noen som allerede har et kjæledyr?;;
FamilySharingExisting;Familiedeling;Familiedeling med noen som allerede har kjæledyr?;INFO_ONLY;false;false;true;false;;Ja, du kan dele tilgang til kjæledyret ditt med andre dyreeiere i familien, forutsatt at du har DyreID+ abonnement i appen. Dette gir familien tilgang til å se informasjon om kjæledyret, men det er kun den registrerte eieren som kan gjøre endringer i kjæledyrets informasjon. Familiedeling gir et godt overblikk over familiens kjæledyr og hjelper alle medlemmer til å forstå kjæledyrets behov og helse. Hvis du ikke lenger kan se kjæledyret som er delt med deg, kan det hende at delingen har blitt stoppet eller trukket tilbake av den registrerte eieren.;eksisterende, allerede, kjæledyr, bruker, deling;;;;https://www.dyreid.no/familiedeling/117-kan-jeg-bruke-familiedeling-med-noen-som-allerede-har-et-kjaeledyr;Kan jeg bruke familiedeling med noen som allerede har et kjæledyr?;;
FamilySharingNonFamily;Familiedeling;Kan jeg dele tilgang med andre enn familien?;INFO_ONLY;false;false;true;false;;Ja, du kan dele tilgang med personer utenom familien for en bestemt tidsperiode. Dette kan være nyttig hvis kjæledyret ditt skal på et pensjonat eller bo hos bekjente og de trenger tilgang til kjæledyrets informasjon i DyreID-appen. Vær oppmerksom på at det kun er den registrerte eieren som kan gjøre endringer i kjæledyrets informasjon. De som får delt tilgang kan kun bruke appens funksjoner og se informasjon om kjæledyret. Dette sikrer at dyrets opplysninger forblir trygge og oppdatert av eieren.;andre, ikke familie, venner, dele, tilgang;;;;https://www.dyreid.no/familiedeling/111-kan-jeg-dele-tilgang-med-andre-enn-familien;Kan jeg dele tilgang med andre enn familien?;;
FamilySharingPermissions;Familiedeling;Kan de jeg deler med gjøre endringer?;INFO_ONLY;false;false;true;false;;Når du deler tilgang til kjæledyret ditt via DyreID, kan familiemedlemmer få et godt overblikk over dyrets informasjon og helsebehov. Det er imidlertid viktig å merke seg at kun den registrerte eieren hos DyreID kan gjøre endringer på kjæledyrets informasjon. Familiemedlemmene du deler tilgang med, kan bruke appens funksjoner og se informasjon, men de kan ikke endre den. For å bruke familiedeling må du ha DyreID+ abonnement. Dette abonnementet gir tilgang til mange fordeler, inkludert deling med familiemedlemmer, og bidrar til en helhetlig forståelse av kjæledyrets behov.;endringer, rettigheter, redigere, tillatelser, deling;;;;https://www.dyreid.no/familiedeling/117-kan-jeg-bruke-familiedeling-med-noen-som-allerede-har-et-kjaeledyr;Kan jeg bruke familiedeling med noen som allerede har et kjæledyr?;;
FamilySharingRequirement;Familiedeling;Trenger jeg DyreID+ for familiedeling?;INFO_ONLY;false;false;true;false;;For å kunne benytte deg av familiedeling i DyreID-appen, trenger du et DyreID+ abonnement. Dette abonnementsnivået gir deg mulighet til å dele tilgang til kjæledyrets informasjon med andre familiemedlemmer. Når du har DyreID+, kan hele familien få et godt overblikk over kjæledyrets behov og helse, samt tilgang til all nyttig informasjon som er tilgjengelig i appen. DyreID+ gir deg ikke bare tilgang til familiedeling, men også andre fordeler.;trenger, dyreID+, krav, familiedeling, abonnement;;;;https://www.dyreid.no/familiedeling/117-kan-jeg-bruke-familiedeling-med-noen-som-allerede-har-et-kjaeledyr;Kan jeg bruke familiedeling med noen som allerede har et kjæledyr?;;
CheckContactData;ID-søk;Hvordan kontrollere at mine kontaktdata er riktig?;API_CALL;true;true;false;false;;;test message, kontrollere kontaktdata, chip nr, automatisk gjenåpning;Sjekk av kontaktdata for chipnummer og eventuell instruksjon om hvordan kunden kan verifisere/oppdatere dem.;"Be kunden bekrefte chipnummer og registrert kontaktinfo.; Send link/instruks for å logge inn på Min side og oppdatere kontaktdata, eller oppdatere via /Owner/UpdateContact etter verifisering.; Bekreft endring tilbake til kunden.";/Owner/UpdateContact;;;;Be kunden bekrefte chipnummer og registrert kontaktinfo.,Send link/instruks for å logge inn på Min side og oppdatere kontaktdata, eller oppdatere via /Owner/UpdateContact etter verifisering.,Bekreft endring tilbake til kunden.
ChipLookup;ID-søk;ChipLookup;API_CALL;true;true;true;false;;;ID Søk, pure service office, søk, test, Chip nr, ID søk, chip, ID søk, chip nr, kontakt oss, test message;Utfør ID-oppslag mot chipnummer i registeret og svar med resultat (kontaktinfo/registrering) eller gi kvittering om ikke funnet.;Kortmelding indikerer forespørsel om ID-søk, men mangler chipnummer eller annen identifikasjon for å foreta oppslag.;;;;;Kortmelding indikerer forespørsel om ID-søk, men mangler chipnummer eller annen identifikasjon for å foreta oppslag.
InactiveRegistration;ID-søk;Kjæledyret mitt er ikke søkbart;API_CALL;true;true;true;false;;;ID søk, Kjæledyret mitt er ikke søkbart, chip, Please provide me details, test, ID søk, Test Round 2, Kjæledyret mitt er ikke søkbart, chip 1213456789012345, ID søk, Test Round 3, Kjæledyret mitt er ikke søkbart, chip, Ikke søkbart, ID-søk, chip, sterilisert, chippa, chip nr, ikke registrert, veterinær, finner ikke, valp, ID nr, ikke søkbart, chip 578098100655919NOR, finner ikke registrert, ikke søkbart, tidligere eier, eierskifte, chipnr, finner ikke, valp, ID nr, ikke søkbart, chip 578098100655919NOR;Søk opp chipnummer i registeret og bekreft registreringsstatus / eierinformasjon. Svar kunde med funn eller videre steg for korrigering.;1) Informere at DyreID støtter hund, katt, hest og frettdyr. 2) Forklare at kaniner ikke kan registreres per i dag (ingen videre steg tilgjengelig).;/Pet/Register;;;;1) Informere at DyreID støtter hund, katt, hest og frettdyr. 2) Forklare at kaniner ikke kan registreres per i dag (ingen videre steg tilgjengelig).
WhyIDMark;ID-søk;Hvorfor bør jeg ID-merke?;INFO_ONLY;false;false;true;false;;"ID-merking er den sikreste måten å identifisere kjæledyret ditt på – og koble deg som eier til dyret hvis det skulle bli borte.

Det er lovpålagt å ID-merke hunder i Norge. For katter anbefales det sterkt.

Mikrochipen sitter under huden og er permanent – den kan ikke falle av som et halsbånd. QR-brikken og Smart Tag gir ekstra trygghet ved at finner enkelt kan kontakte deg direkte.

ID-merking gjøres hos veterinær og registreres automatisk i DyreIDs nasjonale register.";hvorfor id-merke, hvorfor chipe, er det påbudt, er det lovpålagt, hva er hensikten med chip, hvorfor registrere kjæledyr, chip hund katt obligatorisk, hva skjer hvis ikke chippet;;Kunden spør hvor man kan få ID-merket dyret. Dette er en informasjonsforespørsel — gi en liste over vanligste steder (veterinærklinikker) og kort forklaring på videre registreringsprosess.;;;;;
AddContactInfo;Min side;Legge til flere telefonnumre eller e-postadresser;API_CALL;true;true;true;false;;;nytt tlf, merket katt, chip id, adoptert fra Dyrebeskyttelsen, adresse, telefonnummer, Min side, Legge til flere telefonnumre eller e-postadresser, multiple telephone numbers, email addresses, chip 1234567889012345, Endring av telefon nummeret, nytt nummer, bekreft at dette er i orden, Chip nr, flere telefonnummer, Min side, legge til telefon;Oppdatere kontaktinformasjon for registrert dyreeier i databasen eller gi veiledning om korrekt kontaktpunkt (adopsjon fra Dyrebeskyttelsen betyr ofte at dyrevernet må kontaktes).;"Bekreft at den som ber om endring er autorisert (eier eller dokumentert ansvarlig).; Hvis dyret er adoptert via Dyrebeskyttelsen, be kunden kontakte organisasjonen som overførte eierskapet (standard prosess kan kreve at de oppdaterer eierdata).; Hvis eier ønsker at DyreID oppdaterer telefon direkte: samle ChipNumber, nytt telefonnummer, navn på eier/tiltaksansvarlig og dokumentasjon som bekrefter autorisasjon.; Utfør API-kall til /Owner/UpdateContact med de bekreftede feltene for å legge til/endre telefonnummer.";/Owner/UpdateContact;;;ChipNumber, NewOwnerMobile (nye telefonnummer), eventuelt dokumentasjon på adopsjon/rolle (hvis eier bor i utlandet).;Bekreft at den som ber om endring er autorisert (eier eller dokumentert ansvarlig).,Hvis dyret er adoptert via Dyrebeskyttelsen, be kunden kontakte organisasjonen som overførte eierskapet (standard prosess kan kreve at de oppdaterer eierdata).,Hvis eier ønsker at DyreID oppdaterer telefon direkte: samle ChipNumber, nytt telefonnummer, navn på eier/tiltaksansvarlig og dokumentasjon som bekrefter autorisasjon.,Utfør API-kall til /Owner/UpdateContact med de bekreftede feltene for å legge til/endre telefonnummer.
ChipCorrection;Min side;Chipkorrigering;PURESERVICE_CREATE;false;true;true;false;;Hvis dyret ditt har fått nytt chipnummer (f.eks. ved defekt chip), kan vi korrigere registreringen. Veterinæren som satte inn ny chip må bekrefte endringen.;chipkorrigering, nytt chipnummer, feil chip, bytte chip, defekt chip, chip correction, feil chipnummer registrert, UpdateChipNumber, CorrectRegisteredChip, WrongInfo_UpdateChip, ChipReplacement, veterinær registrerte feil;;;;;;;
EmailError;Min side;Feilmelding e-postadresse;API_CALL;true;true;true;false;;;Feilmelding epost, Min side, e-post, Chip nr, Feilmelding e-post, duplikat, Min side, Chip nr, Feilmelding epost, Min side, e-post, Chip nr, Min side, feilmelding e-postadresse, testing, chip, Min side, feilmelding e-postadresse, testing again, chip, Feilmelding e-post, duplikat, Min side, Chip nr;"Hvis kunde opplever feilmelding ved registrering/oppdatering må teknisk/logisk sjekk utføres; men meldingen her er en test uten detaljer.";"Bekreft chipnummer fra kunden (gitt).; Etterspør hvilken e-postadresse som gir feilmelding om ikke allerede oppgitt.; Sjekk i systemet om e-postadressen er registrert og gyldig.; Oppdater kontaktinfo via /Owner/UpdateContact eller gi instruks til bruker for å korrigere.; Informer kunden når endring er gjort.";/Owner/UpdateContact;;;;Bekreft chipnummer fra kunden (gitt).,Etterspør hvilken e-postadresse som gir feilmelding om ikke allerede oppgitt.,Sjekk i systemet om e-postadressen er registrert og gyldig.,Oppdater kontaktinfo via /Owner/UpdateContact eller gi instruks til bruker for å korrigere.,Informer kunden når endring er gjort.
GDPRDelete;Min side;Slett meg;API_CALL;true;true;true;false;;;Sletting av Min side, Min side, sdfsfs, Chip nr, Sletting av Min side, slette konto, GDPR, fjerne oppføring, Slett meg, sletting, Min side, fjerne oppføring, chip;Slette/avregistrere brukeroppføring eller instruere om videre verifisering for sletting;1) Kunde går til Min Side > Innstillinger > 'Slett konto'. 2) System gjennomfører sletting av kontotilknytning. 3) Informer kunde om at dyreregistreringer forblir i nasjonalt register og hvordan de kan be om ytterligere GDPR-tiltak om nødvendig.;/Owner/Delete;;;;1) Kunde går til Min Side > Innstillinger > 'Slett konto'. 2) System gjennomfører sletting av kontotilknytning. 3) Informer kunde om at dyreregistreringer forblir i nasjonalt register og hvordan de kan be om ytterligere GDPR-tiltak om nødvendig.
LoginProblem;Min side;Hvorfor får jeg ikke logget meg inn?;API_CALL;true;true;true;false;;;Min side, logget meg inn, Hvorfor får jeg ikke logget meg inn, chip id, Ikke logget meg inn, login, Chip nr, Test, link til innloggingshjelp, uleselig innhold, Får ikke logget meg inn, glemt passord, kan ikke logge på, endret tlf, adresse, kommer ikke inn, feil passord, LoginIssue, LoginPasswordReset, kan ikke logge inn, tilbakestille passord;Oppdatere e-postadresse i eierprofil og trigge passord-reset;Bruker rapporterer problemer med å logge inn på Min side. Krever feilsøking og muligens manuell validering av konto dersom standardtiltak ikke hjelper.;/Owner/UpdateContact;;;;Bruker rapporterer problemer med å logge inn på Min side. Krever feilsøking og muligens manuell validering av konto dersom standardtiltak ikke hjelper.
MergeDuplicateRegistrations;Min side;Registreringer;PURESERVICE_CREATE;false;true;true;false;;Hvis du har to registreringer for samme dyr, kan vi slå dem sammen. Vi trenger informasjon om begge registreringene.;slå sammen, dobbel registrering, duplikat, to profiler, feil registrering, merge, dobbeltregistrering, DuplicateRegistration, DuplicateRegistrationMerge, MergeRegistrations;;;;;;;
MissingPetProfile;Min side;Min side > Det mangler et kjæledyr på Min side;API_CALL;true;true;true;false;;;får ikke opp dyr, min side, mangler dyr, Mangler dyr, Min side, ikke synlig, chip;"Undersøk brukerens konto og tilknytning mellom eier og dyret; eventuelt legg inn eller koble dyr til konto.";"Be kunden logge inn og bekrefte hvilket telefonnummer/e-post som er registrert.; Be om chipnummer for kjæledyret (hvis tilgjengelig).; Sjekk i systemet om dyret er registrert under en annen eier og koble/forespør eierskifte hvis nødvendig via /Owner/UpdateContact eller OwnerChange-endepunkt.";/Owner/UpdateContact;;;;Be kunden logge inn og bekrefte hvilket telefonnummer/e-post som er registrert.,Be om chipnummer for kjæledyret (hvis tilgjengelig).,Sjekk i systemet om dyret er registrert under en annen eier og koble/forespør eierskifte hvis nødvendig via /Owner/UpdateContact eller OwnerChange-endepunkt.
PetDeceased;Min side;Kjæledyret mitt er dødt;API_CALL;true;true;true;false;;;avlivet, dødt, dato, Chip nr, bekreft markering død, si opp etter dødsfall, avslutte etter avliving, CancelSubscription_PetDeceased, CancelSubscription / PetDeceased;Markere kjæledyret som avlivet/dødt i DyreID og synkronisere status med relevante registre (f.eks. NKK dersom registrert).;"Verifiser eierens identitet og at chipnummer stemmer overens med registrerte opplysninger.; Registrer avlivedato og merk dyret som avlivet i systemet via /Pet/Deceased/Report.; Oppdater eventuelle eksterne registre (f.eks. NKK) hvis relevant og send bekreftelse til eier.";/Pet/Deceased/Report;;;ChipNumber, OwnerName, DateOfDeath, eventuelt dokumentasjon ved behov;Verifiser eierens identitet og at chipnummer stemmer overens med registrerte opplysninger.,Registrer avlivedato og merk dyret som avlivet i systemet via /Pet/Deceased/Report.,Oppdater eventuelle eksterne registre (f.eks. NKK) hvis relevant og send bekreftelse til eier.
